epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,206.904,0.51335,0.57803,0.33113,0.79295,0.98257,0.99134,0.99189,0.90511,0.97828,0.98701,0.9911,0.75812,0.43219,0.65222,0.30723,0.79674,0.0012278,0.0012278,0.0012278
41,211.759,0.48188,0.58923,0.32163,0.79825,0.98977,0.99134,0.99375,0.92417,0.98545,0.98701,0.99298,0.75846,0.41151,0.63897,0.29712,0.79543,0.001208,0.001208,0.001208
42,216.612,0.4817,0.59809,0.31932,0.7919,0.99563,0.98546,0.99466,0.9179,0.99563,0.98546,0.99466,0.76946,0.4341,0.66797,0.29544,0.79673,0.0011882,0.0011882,0.0011882
43,221.715,0.48591,0.60407,0.32673,0.79868,0.99133,0.98963,0.99483,0.91288,0.98699,0.9853,0.99208,0.74694,0.42064,0.65525,0.29499,0.79493,0.0011684,0.0011684,0.0011684
44,227.209,0.48762,0.60586,0.32264,0.79936,0.98701,0.98692,0.99474,0.90125,0.98701,0.98692,0.99474,0.7305,0.44034,0.66334,0.30574,0.7992,0.0011486,0.0011486,0.0011486
45,232.264,0.48445,0.58127,0.32884,0.80014,0.98593,0.98701,0.9947,0.90495,0.98161,0.98268,0.99357,0.73746,0.42673,0.65125,0.30425,0.79884,0.0011288,0.0011288,0.0011288
46,237.198,0.48866,0.61107,0.32045,0.79142,0.99563,0.98645,0.99466,0.90739,0.99563,0.98645,0.99466,0.74346,0.43264,0.676,0.29852,0.7974,0.001109,0.001109,0.001109
47,242.09,0.48921,0.60237,0.31986,0.79742,0.99563,0.98597,0.99461,0.9146,0.99563,0.98597,0.99453,0.76492,0.42104,0.67313,0.29249,0.79587,0.0010892,0.0010892,0.0010892
48,247.11,0.47773,0.57604,0.3155,0.79389,0.9949,0.98701,0.99448,0.90953,0.9949,0.98701,0.99448,0.74411,0.44088,0.70576,0.29549,0.79637,0.0010694,0.0010694,0.0010694
49,252.138,0.48141,0.58621,0.32084,0.79446,0.99365,0.98701,0.99457,0.90325,0.99365,0.98701,0.99457,0.75528,0.44852,0.68016,0.30151,0.79736,0.0010496,0.0010496,0.0010496
50,257.046,0.50187,0.61454,0.32468,0.7974,0.99402,0.98701,0.99479,0.91138,0.99402,0.98701,0.99479,0.7529,0.43676,0.73852,0.29977,0.79984,0.0010298,0.0010298,0.0010298
51,261.84,0.49296,0.61786,0.32525,0.7963,0.99389,0.98268,0.99475,0.90784,0.99389,0.98268,0.9947,0.75188,0.44334,0.70433,0.30204,0.79703,0.00101,0.00101,0.00101
52,266.716,0.50047,0.60773,0.3244,0.79933,0.99128,0.98419,0.99466,0.90834,0.98692,0.97999,0.99216,0.74929,0.4322,0.6839,0.30038,0.79707,0.0009902,0.0009902,0.0009902
53,271.44,0.48879,0.59853,0.32118,0.79419,0.99017,0.98701,0.99462,0.91339,0.99017,0.98701,0.99462,0.75209,0.44106,0.73068,0.29237,0.79829,0.0009704,0.0009704,0.0009704
54,276.292,0.48805,0.59576,0.32039,0.79404,0.99085,0.98701,0.9947,0.91266,0.99085,0.98701,0.9947,0.73755,0.42913,0.67558,0.28886,0.79757,0.0009506,0.0009506,0.0009506
55,281.072,0.48318,0.59761,0.32279,0.79602,0.9935,0.98701,0.99458,0.92211,0.9935,0.98701,0.99458,0.76393,0.4265,0.66044,0.28719,0.79617,0.0009308,0.0009308,0.0009308
56,285.926,0.48878,0.62542,0.31625,0.78978,0.99564,0.98781,0.99496,0.91947,0.99127,0.98348,0.994,0.73998,0.41858,0.68308,0.28481,0.79582,0.000911,0.000911,0.000911
57,291.135,0.49553,0.59078,0.3203,0.79938,0.99873,0.98701,0.99483,0.92474,0.99435,0.98268,0.9933,0.7519,0.40675,0.6715,0.27875,0.79619,0.0008912,0.0008912,0.0008912
58,295.909,0.47956,0.58318,0.32028,0.79182,0.98644,1,0.99487,0.91544,0.98644,1,0.99487,0.7528,0.42677,0.63085,0.28838,0.79559,0.0008714,0.0008714,0.0008714
59,300.729,0.48,0.57897,0.31908,0.79741,0.99564,0.98758,0.99496,0.917,0.99564,0.98758,0.99496,0.74032,0.41311,0.62802,0.27754,0.79653,0.0008516,0.0008516,0.0008516
60,305.7,0.4863,0.57308,0.31205,0.78886,0.99566,0.99356,0.99496,0.91876,0.99566,0.99356,0.99496,0.76968,0.41545,0.64111,0.28318,0.79821,0.0008318,0.0008318,0.0008318
61,310.435,0.46296,0.58206,0.31245,0.79518,0.99566,0.99399,0.99496,0.92087,0.99566,0.99399,0.99496,0.75694,0.41534,0.63406,0.2875,0.79693,0.000812,0.000812,0.000812
62,315.265,0.4674,0.58421,0.30929,0.79631,0.99464,0.98701,0.99483,0.9188,0.99464,0.98701,0.99483,0.76558,0.40632,0.65579,0.28213,0.79555,0.0007922,0.0007922,0.0007922
63,320.3,0.4687,0.57904,0.31317,0.79372,0.9941,0.99134,0.99487,0.921,0.9941,0.99134,0.99487,0.75841,0.39521,0.64272,0.27949,0.79528,0.0007724,0.0007724,0.0007724
64,325.181,0.46102,0.56986,0.30638,0.80248,0.9946,0.99134,0.99461,0.91838,0.9946,0.99134,0.99461,0.76324,0.40608,0.62844,0.27832,0.79481,0.0007526,0.0007526,0.0007526
65,330.07,0.48086,0.60437,0.3102,0.7934,0.99404,0.99134,0.99461,0.91484,0.99404,0.99134,0.99461,0.73913,0.40529,0.6426,0.28337,0.79264,0.0007328,0.0007328,0.0007328
66,334.972,0.48044,0.60705,0.31563,0.78902,0.99047,0.99134,0.99452,0.92364,0.99047,0.99134,0.99452,0.74916,0.40031,0.63349,0.28193,0.79308,0.000713,0.000713,0.000713
67,340.005,0.46898,0.56291,0.30911,0.78941,0.99138,0.9952,0.99456,0.91804,0.98639,0.98701,0.99367,0.75893,0.41428,0.65487,0.27868,0.79511,0.0006932,0.0006932,0.0006932
68,344.814,0.4704,0.59139,0.31324,0.78877,0.99137,0.99507,0.99491,0.92671,0.99137,0.99507,0.99491,0.7712,0.40001,0.6161,0.27494,0.7946,0.0006734,0.0006734,0.0006734
69,349.746,0.46585,0.57392,0.30429,0.79446,0.9914,0.99827,0.99496,0.92366,0.9914,0.99827,0.99496,0.76246,0.415,0.65604,0.27226,0.79622,0.0006536,0.0006536,0.0006536
70,355.194,0.46731,0.58962,0.30183,0.79433,0.99565,0.99056,0.99491,0.92847,0.99565,0.99056,0.99491,0.77095,0.4066,0.63354,0.27502,0.79507,0.0006338,0.0006338,0.0006338
71,360.255,0.46026,0.56929,0.2999,0.79176,0.99415,0.98701,0.99483,0.92015,0.98975,0.98268,0.99368,0.7557,0.40833,0.64379,0.27678,0.79577,0.000614,0.000614,0.000614
72,365.484,0.47247,0.57647,0.30126,0.79097,0.99537,0.98701,0.99491,0.92096,0.991,0.98268,0.99382,0.76013,0.40513,0.6411,0.27398,0.79576,0.0005942,0.0005942,0.0005942
73,370.572,0.45646,0.58725,0.30258,0.78913,0.99422,0.98701,0.99483,0.92646,0.99422,0.98701,0.99483,0.76329,0.39841,0.61723,0.27513,0.79288,0.0005744,0.0005744,0.0005744
74,375.435,0.45531,0.57567,0.30129,0.79526,0.98604,0.99567,0.99483,0.92739,0.98604,0.99567,0.99483,0.75561,0.4003,0.6361,0.27191,0.79473,0.0005546,0.0005546,0.0005546
75,380.338,0.45463,0.58365,0.2975,0.78894,0.98712,0.99553,0.99487,0.92097,0.98712,0.99553,0.99487,0.76289,0.40538,0.63736,0.26902,0.79501,0.0005348,0.0005348,0.0005348
76,385.203,0.4619,0.58268,0.2959,0.79725,1,0.9902,0.995,0.92205,0.99563,0.98587,0.99426,0.76242,0.40445,0.63407,0.26571,0.79461,0.000515,0.000515,0.000515
77,390.015,0.46713,0.5613,0.29431,0.79013,0.99902,0.98701,0.99496,0.92453,0.99902,0.98701,0.99496,0.77376,0.40254,0.63112,0.27479,0.79339,0.0004952,0.0004952,0.0004952
78,395.013,0.44289,0.53961,0.29046,0.7887,0.99862,0.98701,0.99491,0.9273,0.99862,0.98701,0.99491,0.77353,0.3981,0.64566,0.26633,0.795,0.0004754,0.0004754,0.0004754
79,399.713,0.45059,0.56445,0.29182,0.79275,1,0.98682,0.99487,0.92283,1,0.98682,0.99487,0.77138,0.39814,0.64858,0.27238,0.79525,0.0004556,0.0004556,0.0004556
80,404.487,0.45225,0.57323,0.29253,0.7893,0.9986,0.98701,0.99487,0.92882,0.9986,0.98701,0.99487,0.77733,0.39454,0.64575,0.26483,0.7944,0.0004358,0.0004358,0.0004358
81,409.203,0.44101,0.54689,0.28829,0.79164,1,0.98558,0.99474,0.92758,1,0.98558,0.99474,0.76625,0.39699,0.6302,0.26677,0.79228,0.000416,0.000416,0.000416
82,414.016,0.47478,0.58622,0.30078,0.7939,0.99594,0.98268,0.99474,0.93085,0.99156,0.97835,0.99414,0.7696,0.38835,0.62293,0.26739,0.79064,0.0003962,0.0003962,0.0003962
83,419.196,0.46986,0.59232,0.30109,0.79484,0.99549,0.98701,0.99466,0.92509,0.99549,0.98701,0.99466,0.76466,0.39353,0.62201,0.26241,0.791,0.0003764,0.0003764,0.0003764
84,424.176,0.46213,0.57083,0.29725,0.79317,0.99482,0.98701,0.9947,0.92689,0.99482,0.98701,0.9947,0.76425,0.38964,0.59439,0.26305,0.79282,0.0003566,0.0003566,0.0003566
85,428.825,0.46401,0.58112,0.29614,0.79823,0.99134,0.99125,0.99491,0.92558,0.99134,0.99125,0.99491,0.76698,0.3889,0.59359,0.26094,0.79228,0.0003368,0.0003368,0.0003368
86,433.618,0.45747,0.5807,0.29757,0.79397,0.99134,0.99133,0.99487,0.92759,0.99134,0.99133,0.99487,0.76184,0.38206,0.59661,0.26372,0.79017,0.000317,0.000317,0.000317
87,438.375,0.43398,0.54966,0.28762,0.78905,0.99563,0.98627,0.99487,0.92752,0.99563,0.98627,0.99487,0.76503,0.38165,0.60382,0.25929,0.79243,0.0002972,0.0002972,0.0002972
88,443.033,0.45461,0.56902,0.28687,0.78185,0.99718,0.98701,0.99483,0.92538,0.99718,0.98701,0.99483,0.76415,0.39018,0.60161,0.26298,0.79242,0.0002774,0.0002774,0.0002774
89,448.025,0.44679,0.57716,0.28504,0.78929,0.9994,0.98701,0.99483,0.92752,0.9994,0.98701,0.99483,0.76915,0.38472,0.59532,0.26131,0.79151,0.0002576,0.0002576,0.0002576
90,452.864,0.44684,0.57045,0.28825,0.78881,0.99519,0.98701,0.99487,0.93225,0.99519,0.98701,0.99487,0.77728,0.37892,0.58698,0.25729,0.79179,0.0002378,0.0002378,0.0002378
91,487.166,0.42404,0.58544,0.28143,0.78076,0.99563,0.98522,0.99474,0.92944,0.99563,0.98522,0.99474,0.77329,0.37816,0.59304,0.25696,0.79091,0.000218,0.000218,0.000218
92,492.36,0.42044,0.57735,0.27944,0.78094,0.997,0.97835,0.9947,0.92882,0.99259,0.97403,0.99383,0.77074,0.37889,0.59007,0.26044,0.78918,0.0001982,0.0001982,0.0001982
93,497.24,0.43652,0.57296,0.2845,0.78474,0.99791,0.97835,0.99474,0.93448,0.9935,0.97403,0.99387,0.76968,0.37544,0.58702,0.25775,0.78897,0.0001784,0.0001784,0.0001784
94,501.835,0.41706,0.54623,0.27086,0.78135,0.99861,0.97835,0.99474,0.93279,0.99861,0.97835,0.99474,0.77504,0.37689,0.58651,0.25824,0.78952,0.0001586,0.0001586,0.0001586
95,506.588,0.41597,0.55671,0.27753,0.78663,1,0.9811,0.99483,0.93348,1,0.9811,0.99483,0.77915,0.38104,0.59352,0.25559,0.7902,0.0001388,0.0001388,0.0001388
96,511.51,0.41545,0.554,0.27558,0.77734,1,0.98129,0.99483,0.93414,1,0.98129,0.99483,0.7759,0.3792,0.59899,0.25272,0.79038,0.000119,0.000119,0.000119
97,516.294,0.4084,0.55903,0.27046,0.7813,0.98296,0.99907,0.99483,0.93632,0.9787,0.99474,0.99413,0.76797,0.37999,0.60608,0.25549,0.7916,9.92e-05,9.92e-05,9.92e-05
98,521.03,0.4257,0.57748,0.27868,0.78116,0.98208,1,0.99474,0.93567,0.98208,1,0.99474,0.76864,0.37955,0.60859,0.25293,0.79146,7.94e-05,7.94e-05,7.94e-05
99,525.66,0.41748,0.55153,0.27421,0.77971,0.9819,1,0.99474,0.93601,0.9819,1,0.99474,0.76821,0.37953,0.6054,0.25399,0.79076,5.96e-05,5.96e-05,5.96e-05
100,530.391,0.39981,0.53726,0.26747,0.77955,0.98203,1,0.99474,0.93596,0.98203,1,0.99474,0.77435,0.3781,0.6005,0.25145,0.79027,3.98e-05,3.98e-05,3.98e-05
