epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,109.49,0.44993,0.54546,0.29675,0.78426,0.99546,0.99134,0.99478,0.91657,0.99546,0.99134,0.99478,0.75858,0.42537,0.66387,0.2777,0.79515,0.0014826,0.0014826,0.0014826
41,111.9,0.45942,0.53542,0.29611,0.78872,0.99526,0.99134,0.9947,0.93247,0.99526,0.99134,0.9947,0.7591,0.39506,0.60171,0.27608,0.79144,0.00146933,0.00146933,0.00146933
42,114.336,0.44504,0.54669,0.29005,0.79425,0.99565,0.99117,0.99443,0.90921,0.9913,0.98684,0.99321,0.74897,0.45279,0.75985,0.28199,0.79746,0.00145607,0.00145607,0.00145607
43,116.852,0.44968,0.53884,0.29001,0.79047,0.99565,0.99039,0.9947,0.92244,0.99565,0.99039,0.9947,0.76,0.40299,0.61259,0.2694,0.79265,0.0014428,0.0014428,0.0014428
44,119.231,0.45186,0.58004,0.29421,0.79305,0.99137,0.99438,0.99496,0.91323,0.98705,0.99005,0.99395,0.7575,0.43568,0.61508,0.27777,0.79747,0.00142953,0.00142953,0.00142953
45,121.608,0.45305,0.54809,0.29191,0.79163,0.99038,0.99134,0.99491,0.92652,0.99038,0.99134,0.99491,0.76546,0.4023,0.59339,0.26658,0.79124,0.00141627,0.00141627,0.00141627
46,123.982,0.46078,0.55486,0.29688,0.78724,0.98711,0.99486,0.99487,0.92012,0.98282,0.99056,0.99355,0.75439,0.42368,0.66349,0.27924,0.7972,0.001403,0.001403,0.001403
47,126.28,0.4691,0.56785,0.29734,0.78919,0.99537,0.98701,0.99478,0.93497,0.99537,0.98701,0.99478,0.76045,0.37688,0.62614,0.26956,0.79067,0.00138973,0.00138973,0.00138973
48,128.779,0.44461,0.55218,0.29326,0.79213,0.99407,0.98701,0.99457,0.93419,0.99407,0.98701,0.99457,0.76684,0.39337,0.64651,0.27708,0.79068,0.00137647,0.00137647,0.00137647
49,131.141,0.45833,0.55002,0.29261,0.79236,0.98705,0.99022,0.99465,0.92947,0.98705,0.99022,0.99465,0.77113,0.3967,0.63586,0.27195,0.78944,0.0013632,0.0013632,0.0013632
50,133.592,0.45317,0.53473,0.28582,0.79281,0.99134,0.99067,0.99478,0.93797,0.99134,0.99067,0.99478,0.77632,0.36269,0.59915,0.26888,0.78945,0.00134993,0.00134993,0.00134993
51,136.304,0.44483,0.53985,0.2905,0.78944,0.994,0.99567,0.99487,0.93771,0.994,0.99567,0.99487,0.77006,0.38038,0.64395,0.26661,0.79105,0.00133667,0.00133667,0.00133667
52,138.868,0.4168,0.52221,0.27489,0.78812,0.99512,0.99134,0.99491,0.9324,0.99512,0.99134,0.99491,0.76816,0.3677,0.59054,0.25367,0.78793,0.0013234,0.0013234,0.0013234
53,141.357,0.42882,0.53356,0.28147,0.7874,0.99519,0.99134,0.99496,0.93316,0.99519,0.99134,0.99496,0.76217,0.38243,0.61658,0.2624,0.78936,0.00131013,0.00131013,0.00131013
54,143.676,0.4455,0.54217,0.28743,0.78725,0.99475,0.99567,0.99491,0.92484,0.99475,0.99567,0.99491,0.76105,0.38392,0.59216,0.26809,0.78767,0.00129687,0.00129687,0.00129687
55,146.102,0.45037,0.52239,0.29171,0.79563,0.99093,0.99567,0.99487,0.92785,0.98662,0.99134,0.99346,0.76583,0.38631,0.59203,0.26702,0.78842,0.0012836,0.0012836,0.0012836
56,148.616,0.43262,0.56673,0.28451,0.78924,0.99565,0.9909,0.99491,0.92406,0.99565,0.9909,0.99491,0.75735,0.40627,0.64653,0.26719,0.79043,0.00127033,0.00127033,0.00127033
57,151.012,0.44253,0.54291,0.28585,0.78159,1,0.9907,0.995,0.9336,1,0.9907,0.995,0.76911,0.38817,0.60914,0.26703,0.79049,0.00125707,0.00125707,0.00125707
58,153.468,0.44478,0.5348,0.28752,0.78895,0.99995,0.99134,0.995,0.92903,0.99995,0.99134,0.995,0.76674,0.40512,0.64204,0.26848,0.79031,0.0012438,0.0012438,0.0012438
59,155.844,0.43057,0.51785,0.28199,0.79148,0.99965,0.99134,0.995,0.93213,0.99965,0.99134,0.995,0.78794,0.37594,0.56543,0.26022,0.78904,0.00123053,0.00123053,0.00123053
